"Time","Sequence","Command","RequestId","Body"
"2026-07-28T15:49:08.771+08:00","161","0x0008","0x0000000f","08 01 08 03 08 02 08 4c 08 06 08 4e 08 4f 08 0b 08 55 08 0c 08 0d 08 af 01 08 0e 08 0f 08 13 08 37 08 11 08 14 08 1e 08 24 08 6e 08 72 08 75 08 59 08 74 08 73 08 25 08 26 08 2a 08 28 08 29 08 30 08 31 08 32 08 42 08 84 01 08 3a 08 3b 08 3c 08 43 08 44 08 5d 08 53 08 52 08 46 08 58 08 67 08 10 08 61 08 85 01 08 86 01 08 77 08 7a 08 7b 08 7c 08 80 01 08 81 01 08 87 01 08 96 01 08 95 01 08 93 01 08 9b 01 08 9d 01 08 9e 01 08 a0 01 08 b3 01 08 a1 01 08 16 08 50 08 51 08 a7 01 08 a9 01 08 ad 01 08 b4 01 08 b0 01 08 b1 01 08 78 08 6f 08 79 08 ac 01"
"2026-07-28T15:49:08.777+08:00","162","0x0011","0x00000010","08 01"
"2026-07-28T15:49:08.782+08:00","163","0x000a","0x00000011","08 01 08 02 08 03 08 04 08 05 08 06 08 07 08 08 08 09 08 0a 08 0b 08 0c 08 0d 08 27 08 0e 08 0f 08 12 08 13 08 14 08 15 08 16 08 17 08 18 08 19 08 1a 08 1b 08 1c 08 1d 08 1e 08 1f 08 28 08 21 08 20 08 22 08 3a 08 3b 08 2b 08 37 08 38 08 23 08 64 08 24 08 25 08 26 08 29 08 63 08 2a 08 2c 08 2d 08 2e 08 33 08 34 08 35 08 36 08 3d 08 3e 08 3f 08 46 08 48 08 49 08 53 08 4a 08 4b 08 4c 08 54 08 4e 08 4f 08 50 08 4d 08 47 08 51 08 52 08 56 08 57 08 55 08 58 08 59 08 5a 08 5b 08 62 08 5d 08 5e 08 6b 10 43"
"2026-07-28T15:49:09.127+08:00","164","0x000a","0x00000012","08 01 08 02 08 03 08 04 08 05 08 06 08 07 08 08 08 09 08 0a 08 0b 08 0c 08 0d 08 27 08 0e 08 0f 08 12 08 13 08 14 08 15 08 16 08 17 08 18 08 19 08 1a 08 1b 08 1c 08 1d 08 1e 08 1f 08 28 08 21 08 20 08 22 08 3a 08 3b 08 2b 08 37 08 38 08 23 08 64 08 24 08 25 08 26 08 29 08 63 08 2a 08 2c 08 2d 08 2e 08 33 08 34 08 35 08 36 08 3d 08 3e 08 3f 08 46 08 48 08 49 08 53 08 4a 08 4b 08 4c 08 54 08 4e 08 4f 08 50 08 4d 08 47 08 51 08 52 08 56 08 57 08 55 08 58 08 59 08 5a 08 5b 08 62 08 5d 08 5e 08 6b 10 06"
"2026-07-28T15:49:09.305+08:00","165","0x000a","0x00000013","08 01 08 02 08 03 08 04 08 05 08 06 08 07 08 08 08 09 08 0a 08 0b 08 0c 08 0d 08 27 08 0e 08 0f 08 12 08 13 08 14 08 15 08 16 08 17 08 18 08 19 08 1a 08 1b 08 1c 08 1d 08 1e 08 1f 08 28 08 21 08 20 08 22 08 3a 08 3b 08 2b 08 37 08 38 08 23 08 64 08 24 08 25 08 26 08 29 08 63 08 2a 08 2c 08 2d 08 2e 08 33 08 34 08 35 08 36 08 3d 08 3e 08 3f 08 46 08 48 08 49 08 53 08 4a 08 4b 08 4c 08 54 08 4e 08 4f 08 50 08 4d 08 47 08 51 08 52 08 56 08 57 08 55 08 58 08 59 08 5a 08 5b 08 62 08 5d 08 5e 08 6b 10 07"
"2026-07-28T15:49:09.446+08:00","166","0x000a","0x00000014","08 01 08 02 08 03 08 04 08 05 08 06 08 07 08 08 08 09 08 0a 08 0b 08 0c 08 0d 08 27 08 0e 08 0f 08 12 08 13 08 14 08 15 08 16 08 17 08 18 08 19 08 1a 08 1b 08 1c 08 1d 08 1e 08 1f 08 28 08 21 08 20 08 22 08 3a 08 3b 08 2b 08 37 08 38 08 23 08 64 08 24 08 25 08 26 08 29 08 63 08 2a 08 2c 08 2d 08 2e 08 33 08 34 08 35 08 36 08 3d 08 3e 08 3f 08 46 08 48 08 49 08 53 08 4a 08 4b 08 4c 08 54 08 4e 08 4f 08 50 08 4d 08 47 08 51 08 52 08 56 08 57 08 55 08 58 08 59 08 5a 08 5b 08 62 08 5d 08 5e 08 6b 10 1b"
"2026-07-28T15:49:09.564+08:00","167","0x000a","0x00000015","08 01 08 02 08 03 08 04 08 05 08 06 08 07 08 08 08 09 08 0a 08 0b 08 0c 08 0d 08 27 08 0e 08 0f 08 12 08 13 08 14 08 15 08 16 08 17 08 18 08 19 08 1a 08 1b 08 1c 08 1d 08 1e 08 1f 08 28 08 21 08 20 08 22 08 3a 08 3b 08 2b 08 37 08 38 08 23 08 64 08 24 08 25 08 26 08 29 08 63 08 2a 08 2c 08 2d 08 2e 08 33 08 34 08 35 08 36 08 3d 08 3e 08 3f 08 46 08 48 08 49 08 53 08 4a 08 4b 08 4c 08 54 08 4e 08 4f 08 50 08 4d 08 47 08 51 08 52 08 56 08 57 08 55 08 58 08 59 08 5a 08 5b 08 62 08 5d 08 5e 08 6b 10 0c"
"2026-07-28T15:49:09.695+08:00","168","0x000a","0x00000016","08 01 08 02 08 03 08 04 08 05 08 06 08 07 08 08 08 09 08 0a 08 0b 08 0c 08 0d 08 27 08 0e 08 0f 08 12 08 13 08 14 08 15 08 16 08 17 08 18 08 19 08 1a 08 1b 08 1c 08 1d 08 1e 08 1f 08 28 08 21 08 20 08 22 08 3a 08 3b 08 2b 08 37 08 38 08 23 08 64 08 24 08 25 08 26 08 29 08 63 08 2a 08 2c 08 2d 08 2e 08 33 08 34 08 35 08 36 08 3d 08 3e 08 3f 08 46 08 48 08 49 08 53 08 4a 08 4b 08 4c 08 54 08 4e 08 4f 08 50 08 4d 08 47 08 51 08 52 08 56 08 57 08 55 08 58 08 59 08 5a 08 5b 08 62 08 5d 08 5e 08 6b 10 02"
"2026-07-28T15:49:09.830+08:00","169","0x000a","0x00000017","08 01 08 02 08 03 08 04 08 05 08 06 08 07 08 08 08 09 08 0a 08 0b 08 0c 08 0d 08 27 08 0e 08 0f 08 12 08 13 08 14 08 15 08 16 08 17 08 18 08 19 08 1a 08 1b 08 1c 08 1d 08 1e 08 1f 08 28 08 21 08 20 08 22 08 3a 08 3b 08 2b 08 37 08 38 08 23 08 64 08 24 08 25 08 26 08 29 08 63 08 2a 08 2c 08 2d 08 2e 08 33 08 34 08 35 08 36 08 3d 08 3e 08 3f 08 46 08 48 08 49 08 53 08 4a 08 4b 08 4c 08 54 08 4e 08 4f 08 50 08 4d 08 47 08 51 08 52 08 56 08 57 08 55 08 58 08 59 08 5a 08 5b 08 62 08 5d 08 5e 08 6b 10 15"
"2026-07-28T15:49:09.932+08:00","170","0x000a","0x00000018","08 01 08 02 08 03 08 04 08 05 08 06 08 07 08 08 08 09 08 0a 08 0b 08 0c 08 0d 08 27 08 0e 08 0f 08 12 08 13 08 14 08 15 08 16 08 17 08 18 08 19 08 1a 08 1b 08 1c 08 1d 08 1e 08 1f 08 28 08 21 08 20 08 22 08 3a 08 3b 08 2b 08 37 08 38 08 23 08 64 08 24 08 25 08 26 08 29 08 63 08 2a 08 2c 08 2d 08 2e 08 33 08 34 08 35 08 36 08 3d 08 3e 08 3f 08 46 08 48 08 49 08 53 08 4a 08 4b 08 4c 08 54 08 4e 08 4f 08 50 08 4d 08 47 08 51 08 52 08 56 08 57 08 55 08 58 08 59 08 5a 08 5b 08 62 08 5d 08 5e 08 6b 10 01"
"2026-07-28T15:49:10.063+08:00","171","0x000a","0x00000019","08 01 08 02 08 03 08 04 08 05 08 06 08 07 08 08 08 09 08 0a 08 0b 08 0c 08 0d 08 27 08 0e 08 0f 08 12 08 13 08 14 08 15 08 16 08 17 08 18 08 19 08 1a 08 1b 08 1c 08 1d 08 1e 08 1f 08 28 08 21 08 20 08 22 08 3a 08 3b 08 2b 08 37 08 38 08 23 08 64 08 24 08 25 08 26 08 29 08 63 08 2a 08 2c 08 2d 08 2e 08 33 08 34 08 35 08 36 08 3d 08 3e 08 3f 08 46 08 48 08 49 08 53 08 4a 08 4b 08 4c 08 54 08 4e 08 4f 08 50 08 4d 08 47 08 51 08 52 08 56 08 57 08 55 08 58 08 59 08 5a 08 5b 08 62 08 5d 08 5e 08 6b 10 17"
"2026-07-28T15:49:10.275+08:00","173","0x000a","0x0000001a","08 01 08 02 08 03 08 04 08 05 08 06 08 07 08 08 08 09 08 0a 08 0b 08 0c 08 0d 08 27 08 0e 08 0f 08 12 08 13 08 14 08 15 08 16 08 17 08 18 08 19 08 1a 08 1b 08 1c 08 1d 08 1e 08 1f 08 28 08 21 08 20 08 22 08 3a 08 3b 08 2b 08 37 08 38 08 23 08 64 08 24 08 25 08 26 08 29 08 63 08 2a 08 2c 08 2d 08 2e 08 33 08 34 08 35 08 36 08 3d 08 3e 08 3f 08 46 08 48 08 49 08 53 08 4a 08 4b 08 4c 08 54 08 4e 08 4f 08 50 08 4d 08 47 08 51 08 52 08 56 08 57 08 55 08 58 08 59 08 5a 08 5b 08 62 08 5d 08 5e 08 6b 10 18"
"2026-07-28T15:49:10.414+08:00","174","0x0053","0x0000001b","08 04"
"2026-07-28T15:49:10.795+08:00","175","0x0009","0x0000001c","08 35 12 0a a9 03 00 00 00 00 00 00 f0 3f 18 06"
"2026-07-28T15:49:11.241+08:00","176","0x0001","0x0000001d","10 01 30 28 38 2c 40 01 48 28 50 22"
"2026-07-28T15:49:11.328+08:00","177","0x0008","0x0000001e","08 0b 08 55 08 b4 01"
"2026-07-28T15:49:11.690+08:00","179","0x0008","0x0000001f","08 42 08 46 08 5d 08 67 08 16 08 50 08 51 08 96 01 08 95 01 08 7a 08 7b"
"2026-07-28T15:49:12.048+08:00","180","0x0008","0x00000020","08 16 08 50 08 51 08 7c 08 44"
"2026-07-28T15:49:12.067+08:00","181","0x000a","0x00000021","08 63 10 06"
"2026-07-28T15:49:12.069+08:00","182","0x000a","0x00000022","08 63 10 06"
"2026-07-28T15:49:12.220+08:00","183","0x0008","0x00000023","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:49:12.225+08:00","184","0x0008","0x00000024","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:49:15.035+08:00","187","0x00c9","0x00000025",""
"2026-07-28T15:49:15.093+08:00","188","0x00ac","0x00000026","18 64"
"2026-07-28T15:49:20.330+08:00","192","0x0009","0x00000027","08 35 12 0a a9 03 00 00 00 00 00 00 08 40 18 06"
"2026-07-28T15:49:24.629+08:00","196","0x0003","0x00000028","30 03"
"2026-07-28T15:49:26.107+08:00","198","0x0008","0x00000029","08 0b 08 55 08 b4 01"
"2026-07-28T15:49:29.614+08:00","201","0x0009","0x0000002a","08 35 12 0a a9 03 00 00 00 00 00 00 08 40 18 06"
"2026-07-28T15:49:29.707+08:00","203","0x000a","0x0000002b","08 29 08 63 10 06"
"2026-07-28T15:49:29.752+08:00","204","0x000a","0x0000002c","08 63 10 06"
"2026-07-28T15:49:29.917+08:00","205","0x0008","0x0000002d","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:49:29.996+08:00","206","0x000a","0x0000002e","08 29 08 63 10 06"
"2026-07-28T15:49:30.014+08:00","207","0x000d","0x0000002f","08 02 18 64 20 03"
"2026-07-28T15:49:30.018+08:00","208","0x000d","0x00000030","08 02 18 64 20 02"
"2026-07-28T15:49:30.044+08:00","209","0x000d","0x00000031","08 03 18 64 20 03"
"2026-07-28T15:49:30.060+08:00","210","0x000d","0x00000032","08 03 18 64 20 02"
"2026-07-28T15:49:30.064+08:00","211","0x0026","0x00000033","08 03"
"2026-07-28T15:49:30.073+08:00","212","0x0026","0x00000034","08 02"
"2026-07-28T15:49:32.277+08:00","214","0x00c9","0x00000035",""
"2026-07-28T15:49:33.210+08:00","216","0x0007","0x00000036","08 29 12 00"
"2026-07-28T15:49:33.215+08:00","217","0x000a","0x00000037","08 63 10 06"
"2026-07-28T15:49:34.543+08:00","219","0x000a","0x00000038","08 01 08 02 08 03 08 04 08 05 08 06 08 07 08 08 08 09 08 0a 08 0b 08 0c 08 0d 08 27 08 0e 08 0f 08 12 08 13 08 14 08 15 08 16 08 17 08 18 08 19 08 1a 08 1b 08 1c 08 1d 08 1e 08 1f 08 28 08 21 08 20 08 22 08 3a 08 3b 08 2b 08 37 08 38 08 23 08 64 08 24 08 25 08 26 08 29 08 63 08 2a 08 2c 08 2d 08 2e 08 33 08 34 08 35 08 36 08 3d 08 3e 08 3f 08 46 08 48 08 49 08 53 08 4a 08 4b 08 4c 08 54 08 4e 08 4f 08 50 08 4d 08 47 08 51 08 52 08 56 08 57 08 55 08 58 08 59 08 5a 08 5b 08 62 08 5d 08 5e 08 6b 10 07"
"2026-07-28T15:49:34.598+08:00","220","0x000a","0x00000039","08 63 10 07"
"2026-07-28T15:49:34.611+08:00","221","0x0008","0x0000003a","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:49:34.777+08:00","222","0x000a","0x0000003b","08 57 10 07"
"2026-07-28T15:49:34.780+08:00","223","0x000a","0x0000003c","08 29 08 63 10 07"
"2026-07-28T15:49:34.812+08:00","224","0x0009","0x0000003d","08 35 12 0a a9 03 00 00 00 00 00 00 f0 3f 18 07"
"2026-07-28T15:49:34.888+08:00","225","0x0008","0x0000003e","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:49:34.980+08:00","226","0x000a","0x0000003f","08 29 08 63 10 07"
"2026-07-28T15:49:35.072+08:00","227","0x000a","0x00000040","08 29 08 63 10 07"
"2026-07-28T15:49:36.314+08:00","229","0x0008","0x00000041","08 0b 08 55 08 b4 01"
"2026-07-28T15:49:39.514+08:00","232","0x0009","0x00000042","08 35 12 0a a9 03 00 00 00 00 00 00 00 40 18 07"
"2026-07-28T15:49:43.575+08:00","236","0x0009","0x00000043","08 35 12 0a a9 03 00 00 00 00 00 00 08 40 18 07"
"2026-07-28T15:49:44.077+08:00","237","0x0097","0x00000044","08 01"
"2026-07-28T15:49:44.410+08:00","238","0x0098","0x00000045","08 01 10 01"
"2026-07-28T15:49:47.583+08:00","241","0x0009","0x00000046","08 35 12 0a a9 03 00 00 00 00 00 00 18 40 18 07"
"2026-07-28T15:50:00.935+08:00","251","0x0009","0x00000047","08 1f 12 03 f8 01 28 18 07"
"2026-07-28T15:50:01.011+08:00","252","0x000a","0x00000048","08 63 10 07"
"2026-07-28T15:50:01.016+08:00","253","0x000a","0x00000049","08 29 08 63 10 07"
"2026-07-28T15:50:02.063+08:00","255","0x0008","0x0000004a","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:50:02.119+08:00","1","0x000a","0x0000004b","08 29 08 63 10 07"
"2026-07-28T15:50:06.342+08:00","4","0x0008","0x0000004c","08 0b 08 55 08 b4 01"
"2026-07-28T15:50:07.427+08:00","6","0x0009","0x0000004d","08 1f 12 04 f8 01 84 02 18 07"
"2026-07-28T15:50:07.433+08:00","7","0x000a","0x0000004e","08 63 10 07"
"2026-07-28T15:50:07.438+08:00","8","0x000a","0x0000004f","08 29 08 63 10 07"
"2026-07-28T15:50:08.555+08:00","9","0x0008","0x00000050","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:50:20.719+08:00","19","0x0004","0x00000051","08 01"
"2026-07-28T15:50:24.813+08:00","22","0x000a","0x00000052","08 29 08 63 10 07"
"2026-07-28T15:50:24.852+08:00","23","0x000a","0x00000053","08 63 10 07"
"2026-07-28T15:50:24.896+08:00","24","0x0008","0x00000054","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:50:27.512+08:00","27","0x000a","0x00000055","08 63 10 07"
"2026-07-28T15:50:27.516+08:00","28","0x000a","0x00000056","08 63 10 07"
"2026-07-28T15:50:29.999+08:00","31","0x000a","0x00000057","08 29 08 63 10 07"
"2026-07-28T15:50:30.017+08:00","32","0x0008","0x00000058","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:50:30.022+08:00","33","0x0008","0x00000059","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:50:30.036+08:00","34","0x000d","0x0000005a","08 02 18 64 20 02"
"2026-07-28T15:50:30.040+08:00","35","0x000d","0x0000005b","08 02 18 64 20 03"
"2026-07-28T15:50:30.116+08:00","36","0x000a","0x0000005c","08 29 08 63 10 07"
"2026-07-28T15:50:30.161+08:00","37","0x000a","0x0000005d","08 29 08 63 10 07"
"2026-07-28T15:50:30.197+08:00","38","0x000d","0x0000005e","08 03 18 64 20 02"
"2026-07-28T15:50:30.201+08:00","39","0x000d","0x0000005f","08 03 18 64 20 03"
"2026-07-28T15:50:30.226+08:00","40","0x0026","0x00000060","08 02"
"2026-07-28T15:50:30.230+08:00","41","0x0026","0x00000061","08 03"
"2026-07-28T15:50:30.488+08:00","42","0x0004","0x00000062","08 01"
"2026-07-28T15:50:32.095+08:00","44","0x00c9","0x00000063",""
"2026-07-28T15:50:34.518+08:00","47","0x000a","0x00000064","08 29 08 63 10 07"
"2026-07-28T15:50:34.554+08:00","48","0x000a","0x00000065","08 63 10 07"
"2026-07-28T15:50:34.588+08:00","49","0x0008","0x00000066","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:50:36.375+08:00","51","0x0008","0x00000067","08 0b 08 55 08 b4 01"
"2026-07-28T15:50:36.903+08:00","52","0x000a","0x00000068","08 63 10 07"
"2026-07-28T15:50:36.908+08:00","53","0x000a","0x00000069","08 63 10 07"
"2026-07-28T15:50:37.486+08:00","55","0x0004","0x0000006a","08 01"
"2026-07-28T15:50:41.071+08:00","58","0x000a","0x0000006b","08 29 08 63 10 07"
"2026-07-28T15:50:41.075+08:00","59","0x0008","0x0000006c","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:50:41.078+08:00","60","0x0008","0x0000006d","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:50:41.128+08:00","61","0x000a","0x0000006e","08 29 08 63 10 07"
"2026-07-28T15:50:41.152+08:00","62","0x000a","0x0000006f","08 29 08 63 10 07"
"2026-07-28T15:50:43.434+08:00","65","0x000a","0x00000070","08 29 08 63 10 07"
"2026-07-28T15:50:43.480+08:00","66","0x000a","0x00000071","08 63 10 07"
"2026-07-28T15:50:45.771+08:00","68","0x000a","0x00000072","08 63 10 07"
"2026-07-28T15:50:45.776+08:00","69","0x000a","0x00000073","08 63 10 07"
"2026-07-28T15:50:48.314+08:00","72","0x0004","0x00000074","08 01"
"2026-07-28T15:50:49.110+08:00","73","0x0008","0x00000075","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:50:49.117+08:00","74","0x0008","0x00000076","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:50:49.119+08:00","75","0x0008","0x00000077","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:50:49.354+08:00","77","0x000a","0x00000078","08 29 08 63 10 07"
"2026-07-28T15:50:49.357+08:00","78","0x000a","0x00000079","08 29 08 63 10 07"
"2026-07-28T15:50:52.049+08:00","80","0x0008","0x0000007a","08 0b 08 55 08 b4 01"
"2026-07-28T15:51:03.734+08:00","89","0x0005","0x0000007b","10 01"
"2026-07-28T15:51:05.492+08:00","91","0x000a","0x0000007c","08 29 08 63 10 07"
"2026-07-28T15:51:05.493+08:00","92","0x000a","0x0000007d","08 63 10 07"
"2026-07-28T15:51:05.576+08:00","93","0x0008","0x0000007e","08 14 08 b0 01 08 b1 01"
"2026-07-28T15:51:05.677+08:00","95","0x000a","0x0000007f","08 29 08 63 10 07"
"2026-07-28T15:51:05.707+08:00","96","0x000d","0x00000080","08 02 18 64 20 02"
"2026-07-28T15:51:05.712+08:00","97","0x000d","0x00000081","08 02 18 64 20 03"
"2026-07-28T15:51:05.789+08:00","98","0x000d","0x00000082","08 03 18 64 20 02"
"2026-07-28T15:51:05.807+08:00","99","0x000d","0x00000083","08 03 18 64 20 03"
"2026-07-28T15:51:05.819+08:00","100","0x0026","0x00000084","08 02"
"2026-07-28T15:51:05.827+08:00","101","0x0026","0x00000085","08 03"
"2026-07-28T15:51:06.400+08:00","102","0x0008","0x00000086","08 0b 08 55 08 b4 01"
"2026-07-28T15:51:06.979+08:00","103","0x00c9","0x00000087",""
"2026-07-28T15:51:13.997+08:00","109","0x0008","0x00000088","08 0b 08 55 08 b4 01"
"2026-07-28T15:51:14.820+08:00","111","0x0002","0x00000089",""
"2026-07-28T15:51:14.872+08:00","112","0x0076","0x0000008a","08 01"
"2026-07-28T15:51:15.924+08:00","113","0x000b","0x0000008b","0a 2a 2f 44 43 49 4d 2f 43 61 6d 65 72 61 30 31 2f 49 4d 47 5f 32 30 32 36 30 37 32 38 5f 31 35 34 39 32 34 5f 31 33 37 2e 6a 70 67 10 02 1a 02 12 00"
